BU Name,Facility Name,Type,Is Open,Opening Date,Closed/End of Emissions Date,Capacity (m2),FTE,Month,Year
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,10,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,11,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,12,"2,022"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,1,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,2,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,3,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,4,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,5,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,6,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,7,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,8,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,9,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,10,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,11,"2,023"
,Jakarta Gran Rubina Office,Office,true,01/01/2022,31/12/2023,"58,384",0,12,"2,023"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,1,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,2,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,3,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,4,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,5,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,6,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,7,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,8,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,9,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,10,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,11,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,12,"2,022"
,London High Holborn Office,Office,true,01/01/2022,01/01/2023,"14,405",0,1,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,1,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,2,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,3,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,4,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,5,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,6,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,7,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,8,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,9,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,10,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,11,"2,023"
,London High Holborn Office,Office,true,01/01/2023,31/12/2023,"14,405",0,12,"2,023"
,Munich Maximiliansplatz Office,Office,true,01/01/2022,28/02/2022,200,0,1,"2,022"
,Munich Maximiliansplatz Office,Office,true,01/01/2022,28/02/2022,200,0,2,"2,022"
,Munich Mühldorfstraße Office,Office,true,01/03/2022,31/12/2023,615,0,3,"2,022"
,Munich Mühldorfstraße Office,Office,true,01/03/2022,31/12/2023,615,0,4,"2,022"
,Munich Mühldorfstraße Office,Office,true,01/03/2022,31/12/2023,615,0,5,"2,022"
